FECHA_HORA,SECTOR,CAUDAL MEDIO(M3)
01/01/2024 3:00,COLONIA ROMANA,29
01/01/2024 3:00,CONDOMINA,"45,25"
01/01/2024 3:00,Depósito Los Ángeles,"16,8"
01/01/2024 3:00,DIPUTACIÓN DL,0
01/01/2024 3:00,GARBINET NORTE 1,"14,4"
01/01/2024 3:00,INFORMACIÓN DL,"21,1"
01/01/2024 3:00,Les Palmeretes,"36,75"
01/01/2024 3:00,LONJA,"3,06"
01/01/2024 3:00,LONJA DL,"3,06"
01/01/2024 3:00,MATADERO,"21,053"
01/01/2024 3:00,MERCADO DL,"38,089"
01/01/2024 3:00,MUCHAVISTA - P.A.U. 5,"44,35"
01/01/2024 3:00,MUELLE GRANELES DL,"4,9"
01/01/2024 3:00,MUELLE LEVANTE DL,"10,58"
01/01/2024 3:00,O.A.M.I 1,5
01/01/2024 3:00,P.A.U. 1 (norte+sur),"29,35"
01/01/2024 3:00,P.A.U. 2,"16,8"
01/01/2024 3:00,PARQUE LO MORANT,"23,701"
01/01/2024 3:00,PLAYA DE SAN JUAN 1,"64,5"
01/01/2024 3:00,Postiguet,"21,05"
01/01/2024 3:00,PZA. MONTAÑETA,"36,25"
01/01/2024 3:00,RABASA DL,"29,9"
01/01/2024 3:00,SANTO DOMINGO DL,"58,396"
01/01/2024 3:00,SH_Demo,"29,443"
01/01/2024 3:00,TOBO,"32,45"
01/01/2024 3:00,VALLONGA GLOBAL,"7,95"
01/01/2024 3:00,VALLONGA-TOLON DL,"7,95"
01/01/2024 3:00,VILLAFRANQUEZA,"27,309"
01/01/2024 3:00,VIRGEN DEL CARMEN 1000 Viv,"43,759"
01/01/2024 3:00,VIRGEN DEL REMEDIO,"71,6"
01/01/2024 4:00,1 CIUDAD JARDÍN,"22,45"
01/01/2024 4:00,ALIPARK DL,"6,05"
01/01/2024 4:00,ALTOZANO,"38,15"
01/01/2024 4:00,BAHÍA LOS PINOS,"35,15"
01/01/2024 4:00,BENALÚA DL,"38,15"
01/01/2024 4:00,Bº GRANADA 1,"5,15"
01/01/2024 4:00,Bº LOS ÁNGELES,"31,041"
01/01/2024 4:00,CABO HUERTAS - PLAYA,"21,35"
01/01/2024 4:00,Campoamor Alto,"38,3"
01/01/2024 4:00,CENTRO COMERCIAL GRAN VÍA,"14,25"
01/01/2024 4:00,CIUDAD DEPORTIVA DL,"20,35"
01/01/2024 4:00,COLONIA REQUENA,129
01/01/2024 4:00,COLONIA ROMANA,"24,9"
01/01/2024 4:00,CONDOMINA,"36,3"
01/01/2024 4:00,Depósito Los Ángeles,"14,5"
01/01/2024 4:00,DIPUTACIÓN DL,0
01/01/2024 4:00,GARBINET NORTE 1,"11,1"
01/01/2024 4:00,INFORMACIÓN DL,"20,7"
01/01/2024 4:00,Les Palmeretes,"32,45"
01/01/2024 4:00,LONJA,"3,46"
01/01/2024 4:00,LONJA DL,"3,46"
01/01/2024 4:00,MATADERO,"18,479"
01/01/2024 4:00,MERCADO DL,"34,868"
01/01/2024 4:00,MUCHAVISTA - P.A.U. 5,"43,45"
01/01/2024 4:00,MUELLE GRANELES DL,"4,8"
01/01/2024 4:00,MUELLE LEVANTE DL,"11,725"
01/01/2024 4:00,O.A.M.I 1,"9,55"
01/01/2024 4:00,P.A.U. 1 (norte+sur),"27,45"
01/01/2024 4:00,P.A.U. 2,"14,15"
01/01/2024 4:00,PARQUE LO MORANT,"22,152"
01/01/2024 4:00,PLAYA DE SAN JUAN 1,"62,35"
01/01/2024 4:00,Postiguet,"19,75"
01/01/2024 4:00,PZA. MONTAÑETA,"31,8"
01/01/2024 4:00,RABASA DL,"31,4"
01/01/2024 4:00,SANTO DOMINGO DL,"53,599"
01/01/2024 4:00,SH_Demo,"31,041"
